id,cluster
365707,22
365709,0
365710,2
365711,22
365712,26
365713,-1
365714,40
365715,67
365716,34
365717,34
365718,82
365719,46
365720,78
365721,67
365723,1
365724,1
365725,1
365722,-1
365726,65
365727,82
365728,35
365729,-1
365730,58
365731,50
365732,24
365733,58
365734,4
365735,27
365736,85
365737,27
365738,27
365739,-1
365740,98
365741,100
365742,24
365743,27
365744,84
365745,91
365746,49
365747,49
365748,-1
365749,90
365750,102
365751,51
365752,22
365753,41
365754,22
365755,30
365756,-1
365757,58
365758,67
365759,-1
365760,22
365761,84
365762,-1
365763,17
365764,82
365765,97
365766,11
365767,99
365768,103
365769,53
365770,41
365771,89
365772,100
365773,56
365774,56
365775,58
365776,12
365777,58
365778,26
365779,-1
365780,28
365781,26
365782,58
365783,58
365784,58
365785,-1
365786,-1
365787,58
365788,58
365789,48
365790,58
365791,58
365792,33
365793,24
365794,101
365795,58
365796,58
365797,26
365798,48
365799,-1
365800,-1
365801,10
365802,58
365803,76
365804,-1
365805,58
365806,-1
365807,101
365808,67
365809,91
365810,28
365811,20
365812,63
365813,67
365814,-1
365815,63
365816,27
365817,87
365818,67
365819,58
365820,6
365821,89
365822,58
365823,71
365824,75
365825,36
365826,5
365827,27
365828,67
365829,58
365830,1
365831,26
365832,78
365833,89
365834,32
365835,32
365836,85
365837,15
365838,-1
365839,58
365840,41
365841,67
365842,1
365843,67
365844,67
365845,19
365846,26
365847,58
365848,12
365849,58
365850,12
365851,58
365852,58
365853,12
365854,58
365855,-1
365856,26
365857,67
365858,12
365859,67
365860,16
365861,-1
365862,58
365863,67
365864,-1
365865,58
365866,51
365867,12
365868,77
365869,51
365870,16
365871,58
365872,18
365874,0
365875,2
365876,25
365877,60
365878,12
365879,67
365880,-1
365881,67
365882,9
365883,28
365884,25
365885,63
365886,66
365887,7
365888,74
365889,4
365890,69
365891,-1
365892,-1
365893,67
365894,58
365895,-1
365896,-1
365897,-1
365898,56
365899,74
365900,63
365901,60
365902,102
365903,58
365904,58
365905,-1
365906,-1
365907,-1
365908,41
365909,-1
365910,75
365911,103
365912,53
365913,-1
365914,-1
365915,58
365916,84
365917,67
365918,58
365919,11
365920,12
365921,-1
365922,58
365923,57
365924,47
365925,95
365926,15
365927,57
365928,12
365929,-1
365930,38
365931,58
365932,102
365933,49
365934,-1
365935,67
365936,-1
365937,48
365938,-1
365939,-1
365940,67
365941,72
365942,-1
365943,80
365944,-1
365945,58
365946,81
365947,-1
365948,8
365949,30
365950,103
365951,89
365952,27
365953,57
365954,66
365955,67
365956,14
365957,71
365958,42
365959,58
365960,-1
365961,58
365962,69
