id,cluster
365707,7
365709,2
365710,8
365711,7
365712,3
365713,8
365714,8
365715,2
365716,8
365717,8
365718,8
365719,8
365720,8
365721,2
365723,8
365724,8
365725,8
365722,8
365726,8
365727,8
365728,8
365729,8
365730,2
365731,0
365732,1
365733,4
365734,8
365735,3
365736,11
365737,3
365738,3
365739,8
365740,0
365741,0
365742,6
365743,1
365744,0
365745,9
365746,8
365747,8
365748,8
365749,0
365750,8
365751,8
365752,7
365753,8
365754,7
365755,3
365756,8
365757,1
365758,4
365759,1
365760,7
365761,0
365762,8
365763,8
365764,8
365765,3
365766,3
365767,0
365768,0
365769,0
365770,8
365771,11
365772,0
365773,8
365774,8
365775,2
365776,2
365777,2
365778,2
365779,3
365780,8
365781,2
365782,2
365783,2
365784,2
365785,2
365786,8
365787,2
365788,2
365789,1
365790,2
365791,4
365792,3
365793,1
365794,3
365795,4
365796,2
365797,3
365798,1
365799,8
365800,0
365801,11
365802,4
365803,8
365804,2
365805,2
365806,8
365807,3
365808,2
365809,9
365810,8
365811,8
365812,8
365813,2
365814,3
365815,1
365816,6
365817,9
365818,2
365819,4
365820,11
365821,11
365822,4
365823,9
365824,9
365825,7
365826,5
365827,11
365828,4
365829,2
365830,8
365831,8
365832,1
365833,11
365834,3
365835,3
365836,11
365837,1
365838,3
365839,4
365840,8
365841,1
365842,8
365843,2
365844,1
365845,8
365846,2
365847,2
365848,2
365849,4
365850,2
365851,2
365852,2
365853,2
365854,2
365855,1
365856,2
365857,2
365858,2
365859,2
365860,3
365861,8
365862,2
365863,2
365864,2
365865,4
365866,8
365867,2
365868,11
365869,8
365870,3
365871,2
365872,7
365874,2
365875,8
365876,5
365877,6
365878,4
365879,4
365880,6
365881,2
365882,10
365883,8
365884,5
365885,1
365886,2
365887,8
365888,0
365889,8
365890,8
365891,0
365892,8
365893,4
365894,8
365895,8
365896,11
365897,0
365898,8
365899,0
365900,10
365901,6
365902,8
365903,8
365904,2
365905,8
365906,1
365907,6
365908,8
365909,1
365910,9
365911,8
365912,8
365913,8
365914,1
365915,2
365916,0
365917,4
365918,2
365919,8
365920,2
365921,8
365922,1
365923,6
365924,10
365925,0
365926,8
365927,6
365928,2
365929,8
365930,7
365931,2
365932,0
365933,8
365934,6
365935,4
365936,8
365937,1
365938,6
365939,6
365940,8
365941,8
365942,8
365943,8
365944,3
365945,2
365946,9
365947,2
365948,1
365949,3
365950,0
365951,11
365952,3
365953,6
365954,4
365955,6
365956,2
365957,8
365958,9
365959,6
365960,2
365961,2
365962,8
365963,3
365964,11
365965,2
365966,8
365967,2
365968,2
365969,6
365970,11
365971,8
365972,8
365973,8
365974,6
365975,8
365976,3
365977,2
365978,8
365979,6
365980,3
365981,3
365982,6
365983,2
365984,2
365985,2
365986,2
365987,2
365988,9
365989,2
365990,2
365991,2
365992,6
365993,5
365994,0
365995,2
365996,7
365997,2
365998,4
365999,3
366000,6
366001,2
366002,0
366003,4
366004,3
366005,2
366006,2
366007,3
366008,0
366009,8
366010,0
366011,2
366012,4
366013,6
366014,2
366015,8
366016,11
366017,2
366018,0
366019,8
366020,4
366021,2
366022,2
366023,2
366024,8
366025,8
366026,2
366027,2
366028,2
366029,0
366030,4
366031,1
366032,2
366033,2
366034,2
366035,10
366036,8
366037,8
366038,2
366039,8
366040,2
366041,6
366042,2
366043,2
366044,4
366045,2
366046,10
366047,2
366048,11
366049,8
366050,8
366051,7
366053,2
366054,8
366055,6
366056,1
366057,5
366058,3
366059,8
366060,4
366061,8
366062,0
366063,11
366064,0
366065,1
366066,6
366067,10
366068,2
366069,6
366070,0
366071,5
366072,2
366073,3
366074,2
366075,8
366076,8
366077,0
366078,7
366079,4
366080,8
366081,8
366082,0
366083,8
366084,8
366085,3
366086,9
366087,0
366088,9
366089,5
366090,0
